Bezig: 459 sec, ETA: 141 sec, Simulatie: 23750, Validation: -7.7, Beloning: -4, Batch Size 64, Epsilon: 0.03, ID: xffe3781e3, penalty: 0.4, loss: 0.69, aantal experiences: 100000
Bezig: 463 sec, ETA: 137 sec, Simulatie: 24000, Validation: 2.3, Beloning: 1, Batch Size 64, Epsilon: 0.03, ID: xfc422, penalty: 0.6, loss: 0.55, aantal experiences: 100000
Bezig: 468 sec, ETA: 132 sec, Simulatie: 24250, Validation: 2.9, Beloning: -4, Batch Size 64, Epsilon: 0.03, ID: xffe3781e2, penalty: 0.4, loss: 0.65, aantal experiences: 100000
Bezig: 472 sec, ETA: 128 sec, Simulatie: 24500, Validation: 2.3, Beloning: 2, Batch Size 64, Epsilon: 0.03, ID: x42, penalty: 0.8, loss: 0.66, aantal experiences: 100000
Bezig: 477 sec, ETA: 123 sec, Simulatie: 24750, Validation: -7.0, Beloning: -3, Batch Size 64, Epsilon: 0.02, ID: xffe3781e3, penalty: 0.5, loss: 0.49, aantal experiences: 100000
Bezig: 482 sec, ETA: 118 sec, Simulatie: 25000, Validation: 1.0, Beloning: 2, Batch Size 64, Epsilon: 0.02, ID: xe42, penalty: 0.8, loss: 0.47, aantal experiences: 100000
Bezig: 486 sec, ETA: 114 sec, Simulatie: 25250, Validation: 1.0, Beloning: -2, Batch Size 64, Epsilon: 0.02, ID: xff63781e3, penalty: 0.3, loss: 0.62, aantal experiences: 100000
Bezig: 491 sec, ETA: 109 sec, Simulatie: 25500, Validation: -7.7, Beloning: -8, Batch Size 64, Epsilon: 0.02, ID: xffe3781e2, penalty: 0.6, loss: 0.52, aantal experiences: 100000
Bezig: 495 sec, ETA: 105 sec, Simulatie: 25750, Validation: -7.7, Beloning: 4, Batch Size 64, Epsilon: 0.02, ID: xffe3781e3, penalty: 0.1, loss: 0.45, aantal experiences: 100000
Bezig: 500 sec, ETA: 100 sec, Simulatie: 26000, Validation: -7.6, Beloning: -11, Batch Size 64, Epsilon: 0.02, ID: xffe3781e2, penalty: 0.8, loss: 0.54, aantal experiences: 100000
Bezig: 505 sec, ETA: 95 sec, Simulatie: 26250, Validation: 0.3, Beloning: -3, Batch Size 64, Epsilon: 0.02, ID: xffe3781e2, penalty: 0.5, loss: 0.59, aantal experiences: 100000
Bezig: 509 sec, ETA: 91 sec, Simulatie: 26500, Validation: -7.7, Beloning: 0, Batch Size 64, Epsilon: 0.02, ID: xffe3781e3, penalty: 0.2, loss: 0.55, aantal experiences: 100000
Bezig: 514 sec, ETA: 86 sec, Simulatie: 26750, Validation: -6.8, Beloning: 2, Batch Size 64, Epsilon: 0.02, ID: xffe3781e3, penalty: 0.2, loss: 0.63, aantal experiences: 100000
Bezig: 519 sec, ETA: 81 sec, Simulatie: 27000, Validation: -7.7, Beloning: -6, Batch Size 64, Epsilon: 0.02, ID: xffe3781e2, penalty: 0.6, loss: 0.62, aantal experiences: 100000
Bezig: 523 sec, ETA: 77 sec, Simulatie: 27250, Validation: -7.7, Beloning: -7, Batch Size 64, Epsilon: 0.02, ID: xffe37812, penalty: 0.7, loss: 0.6, aantal experiences: 100000
Bezig: 528 sec, ETA: 72 sec, Simulatie: 27500, Validation: -8.3, Beloning: -4, Batch Size 64, Epsilon: 0.02, ID: xffe3781e2, penalty: 0.4, loss: 0.55, aantal experiences: 100000
Bezig: 532 sec, ETA: 68 sec, Simulatie: 27750, Validation: -7.7, Beloning: 3, Batch Size 64, Epsilon: 0.02, ID: xffe3781e3, penalty: 0.1, loss: 0.56, aantal experiences: 100000
Bezig: 537 sec, ETA: 63 sec, Simulatie: 28000, Validation: -7.7, Beloning: 0, Batch Size 64, Epsilon: 0.01, ID: xffe3781e3, penalty: 0.3, loss: 0.57, aantal experiences: 100000
Bezig: 542 sec, ETA: 58 sec, Simulatie: 28250, Validation: -7.7, Beloning: -9, Batch Size 64, Epsilon: 0.01, ID: x7fe3781e3, penalty: 0.7, loss: 0.48, aantal experiences: 100000
Bezig: 546 sec, ETA: 54 sec, Simulatie: 28500, Validation: -8.3, Beloning: -6, Batch Size 64, Epsilon: 0.01, ID: xffe378e3, penalty: 0.6, loss: 0.48, aantal experiences: 100000
Bezig: 551 sec, ETA: 49 sec, Simulatie: 28750, Validation: -8.3, Beloning: -8, Batch Size 64, Epsilon: 0.01, ID: xffe3781e3, penalty: 0.6, loss: 0.44, aantal experiences: 100000
Bezig: 556 sec, ETA: 44 sec, Simulatie: 29000, Validation: -7.6, Beloning: -7, Batch Size 64, Epsilon: 0.01, ID: xffe3681c3, penalty: 0.6, loss: 0.51, aantal experiences: 100000
