Bezig: 560 sec, ETA: 40 sec, Simulatie: 30500, Validation: 3.6, Cijfer: 4.4, Batch Size 64, Epsilon: 0.01, ID: x2412, penalty: 0.5, loss: 0.17, aantal experiences: 100000
Bezig: 564 sec, ETA: 36 sec, Simulatie: 30750, Validation: 3.6, Cijfer: 4.7, Batch Size 64, Epsilon: 0.01, ID: x2842, penalty: 0.4, loss: 0.17, aantal experiences: 100000
Bezig: 569 sec, ETA: 31 sec, Simulatie: 31000, Validation: 3.6, Cijfer: 5.4, Batch Size 64, Epsilon: 0.01, ID: x2412, penalty: 0.2, loss: 0.13, aantal experiences: 100000
Bezig: 573 sec, ETA: 27 sec, Simulatie: 31250, Validation: 3.6, Cijfer: 4.7, Batch Size 64, Epsilon: 0.01, ID: x2412, penalty: 0.6, loss: 0.12, aantal experiences: 100000
Bezig: 578 sec, ETA: 22 sec, Simulatie: 31500, Validation: 3.7, Cijfer: 3.7, Batch Size 64, Epsilon: 0.01, ID: x8212, penalty: 0.4, loss: 0.06, aantal experiences: 100000
Bezig: 582 sec, ETA: 18 sec, Simulatie: 31750, Validation: 3.7, Cijfer: 3.2, Batch Size 64, Epsilon: 0.01, ID: x2821, penalty: 0.2, loss: 0.1, aantal experiences: 100000
Bezig: 587 sec, ETA: 13 sec, Simulatie: 32000, Validation: 3.6, Cijfer: 3.7, Batch Size 64, Epsilon: 0.01, ID: x2212, penalty: 0.6, loss: 0.14, aantal experiences: 100000
Bezig: 592 sec, ETA: 8 sec, Simulatie: 32250, Validation: 3.6, Cijfer: 5.4, Batch Size 64, Epsilon: 0.01, ID: x2412, penalty: 0.2, loss: 0.12, aantal experiences: 100000
Bezig: 596 sec, ETA: 4 sec, Simulatie: 32500, Validation: 3.6, Cijfer: 5.3, Batch Size 64, Epsilon: 0.01, ID: x1412, penalty: 0.5, loss: 0.12, aantal experiences: 100000
Bezig: 601 sec, ETA: -1 sec, Simulatie: 32750, Validation: 3.6, Cijfer: 3.8, Batch Size 64, Epsilon: 0.01, ID: x2412, penalty: 0.5, loss: 0.08, aantal experiences: 100000
