Bezig: 630 sec, ETA: 394 sec, Simulatie: 30750, Validation: 3.3, Cijfer: 2.1, Batch Size 64, Epsilon: 0.01, ID: x4, penalty: 0.8, loss: 0.18, aantal experiences: 100000
Bezig: 635 sec, ETA: 389 sec, Simulatie: 31000, Validation: 3.3, Cijfer: 2.5, Batch Size 64, Epsilon: 0.01, ID: x2, penalty: 0.2, loss: 0.21, aantal experiences: 100000
Bezig: 640 sec, ETA: 384 sec, Simulatie: 31250, Validation: 3.3, Cijfer: 3.8, Batch Size 64, Epsilon: 0.01, ID: x22, penalty: 0.3, loss: 0.22, aantal experiences: 100000
Bezig: 645 sec, ETA: 379 sec, Simulatie: 31500, Validation: 3.3, Cijfer: 4.4, Batch Size 64, Epsilon: 0.01, ID: x11, penalty: 0.4, loss: 0.2, aantal experiences: 100000
Bezig: 650 sec, ETA: 373 sec, Simulatie: 31750, Validation: 3.3, Cijfer: 3.7, Batch Size 64, Epsilon: 0.01, ID: x22, penalty: 0.5, loss: 0.18, aantal experiences: 100000
Bezig: 655 sec, ETA: 368 sec, Simulatie: 32000, Validation: 3.3, Cijfer: 6.6, Batch Size 64, Epsilon: 0.01, ID: x245b, penalty: 0.2, loss: 0.23, aantal experiences: 100000
Bezig: 660 sec, ETA: 363 sec, Simulatie: 32250, Validation: 3.3, Cijfer: 4.0, Batch Size 64, Epsilon: 0.01, ID: x11, penalty: 0.5, loss: 0.25, aantal experiences: 100000
Bezig: 665 sec, ETA: 358 sec, Simulatie: 32500, Validation: 3.4, Cijfer: 3.1, Batch Size 64, Epsilon: 0.01, ID: x19, penalty: 0.6, loss: 0.2, aantal experiences: 100000
Bezig: 670 sec, ETA: 353 sec, Simulatie: 32750, Validation: 3.3, Cijfer: 5.0, Batch Size 64, Epsilon: 0.01, ID: x85, penalty: 0.3, loss: 0.12, aantal experiences: 100000
Bezig: 675 sec, ETA: 348 sec, Simulatie: 33000, Validation: 3.4, Cijfer: 3.1, Batch Size 64, Epsilon: 0.01, ID: x83, penalty: 0.6, loss: 0.33, aantal experiences: 100000
Bezig: 680 sec, ETA: 342 sec, Simulatie: 33250, Validation: 3.3, Cijfer: 4.3, Batch Size 64, Epsilon: 0.01, ID: x21, penalty: 0.5, loss: 0.2, aantal experiences: 100000
